relay,class,advertised_by_pubkeys,advertised_by_distinct_lists,connect_ms,first_response_ms,events,error
wss://nostr.inosta.cc,http_error,3,3,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 502"
wss://nostr.lol,http_error,3,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 200"
wss://nostr.mutinywallet.com,dns_fail,3,3,,,0,"gaierror: [Errno -5] No address associated with hostname"
wss://relay-jp.shino3.net,http_error,3,3,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://relay.bullishbounty.com,ok_serving,3,3,656,823,1,""
wss://relay.coinos.io,ok_serving,3,3,400,488,1,""
wss://relay.noderunners.network,ok_serving,3,3,736,908,1,""
wss://relay.nosto.re,ok_empty,3,2,1548,1687,0,""
wss://relay.nostrati.com,http_error,3,3,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 502"
wss://relay.poster.place,auth_required,3,3,456,456,0,""
wss://relay.san.yt,timeout,3,2,,,0,"TimeoutError: timed out during opening handshake"
wss://relay.satlantis.io,ok_serving,3,3,343,393,1,""
wss://relay.stoner.com,dns_fail,3,3,,,0,"gaierror: [Errno -2] Name or service not known"
wss://relayable.org,refused,3,3,,,0,"ConnectionRefusedError: [Errno 111] Connect call failed ('52.60.87.163'; 443)"
wss://search.nos.today,rejected,3,3,717,935,0,""
wss://spatia-arcana.com,auth_required,3,3,234,234,0,""
wss://wot.nostr.party,http_error,3,3,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 502"
wss://x.kojira.io,ok_serving,3,3,547,700,1,""
wss://zap.watch,http_error,3,3,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 400"
wss://auth.nostr1.com,auth_required,2,2,402,442,0,""
wss://bostr.online,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 410"
wss://btc.klendazu.com,ok_serving,2,2,909,1060,1,""
wss://bucket.coracle.social,ok_serving,2,2,345,464,2,""
wss://espelho.girino.org,ok_serving,2,2,421,488,1,""
wss://filter.nostr.wine,auth_required,2,2,452,470,0,""
wss://hist.nostr.land,ok_empty,2,2,585,740,0,""
wss://knostr.neutrine.com,ok_serving,2,2,680,859,1,""
wss://lang.relays.land/ja,auth_required,2,2,540,540,0,""
wss://multiplexer.huszonegy.world,ok_serving,2,2,528,5751,1,""
wss://nostr-01.uid.ovh,auth_required,2,2,674,674,0,""
wss://nostr-pub.semisol.dev,auth_required,2,2,887,887,0,""
wss://nostr-relay.h3z.jp,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://nostr-relay.wlvs.space,dns_fail,2,2,,,0,"gaierror: [Errno -2] Name or service not known"
wss://nostr-verified.wellorder.net,ok_serving,2,2,262,292,1,""
wss://nostr.azzamo.net,ok_serving,2,2,561,740,1,""
wss://nostr.coinfundit.com,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 200"
wss://nostr.dbtc.link,auth_required,2,2,639,639,0,""
wss://nostr.holybea.com,timeout,2,2,,,0,"TimeoutError: timed out during opening handshake"
wss://nostr.island.network,tls_fail,2,2,,,0,"SSLError: [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] sslv3 alert handshake failure (_ssl.c:1016)"
wss://nostr.relayer.se,tls_fail,2,2,,,0,"SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1016)"
wss://nostr.rocks,tls_fail,2,2,,,0,"SSLCertVerificationError: [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)"
wss://nostr.semisol.dev,auth_required,2,2,806,806,0,""
wss://nostr.superfriends.online,ok_serving,2,2,432,551,1,""
wss://nostr.vulpem.com,refused,2,2,,,0,"ConnectionRefusedError: [Errno 111] Connect call failed ('167.235.75.194'; 443)"
wss://nostr.zebedee.cloud,timeout,2,2,,,0,"TimeoutError: timed out during opening handshake"
wss://nostr1.tunnelsats.com,dns_fail,2,2,,,0,"gaierror: [Errno -5] No address associated with hostname"
wss://poster.place/relay,auth_required,2,2,341,341,0,""
wss://primal.net,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 200"
wss://relay.bitcoiner.social,dns_fail,2,2,,,0,"gaierror: [Errno -2] Name or service not known"
wss://relay.f7z.io,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 404"
wss://relay.gulugulu.moe,ok_serving,2,2,349,415,1,""
wss://relay.lexingtonbitcoin.org,ok_serving,2,2,381,439,1,""
wss://relay.nmail.li,auth_required,2,2,733,733,0,""
wss://relay.nostr.space,ok_serving,2,1,581,747,1,""
wss://relay.nostrmap.net,ok_serving,2,2,563,719,1,""
wss://relay.nsite.lol,ok_empty,2,1,143,161,0,""
wss://relay.orangepill.ovh,ok_serving,2,2,724,857,1,""
wss://relay.shitforce.one,refused,2,2,,,0,"OSError: Multiple exceptions: [Errno 111] Connect call failed ('69.30.197.10'; 443); [Errno 111] Connect call failed ('69.30.197.13'; 443); [Errno 11"
wss://relay.wellorder.net,ok_serving,2,2,153,199,1,""
wss://relayer.fiatjaf.com,dns_fail,2,2,,,0,"gaierror: [Errno -2] Name or service not known"
wss://soloco.nl,ok_serving,2,2,634,784,1,""
wss://welcome.nostr.wine,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 502"
wss://wot.girino.org,ok_serving,2,2,329,370,1,""
wss://wot.sebastix.social,http_error,2,2,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 429"
ws://192.168.3.3:7777,timeout,1,1,,,0,"TimeoutError: timed out during opening handshake"
ws://[31b:6f20:c7f2:3ddf::3221],other_fail,1,1,,,0,"OSError: [Errno 101] Network is unreachable"
ws://bitcoinr6de5lkvx4tpwdmzrdfdpla5sya2afwpcabjup2xpi5dulbad.onion,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://eko7fal3464jprvijmp7aetmqiffvsp2uiwte5sxwbs3dw5rpp6zn3ad.onion,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://fxhid6hhwm2swtn6rkjsvxeit4hbwm55wmmhzcbariokzfufxqk3zpqd.onion,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://m3u5meobs6jsdtjswpozqyntwtexrmrnowcjyppog2bmxii6zshrzjyd.onion,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://m3u5meobs6jsdtjswpozqyntwtexrmrnowcjyppog2bmxii6zshrzjyd.onion/inbox,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://nerostrrgb5fhj6dnzhjbgmnkpy2berdlczh6tuh2jsqrjok3j4zoxid.onion,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
ws://nostrdvm.com,other_fail,1,1,,,0,"InvalidURI: https://nostrdvm.com/ isn't a valid URI: scheme isn't ws or wss"
ws://relay.damus.io,other_fail,1,1,,,0,"InvalidURI: https://relay.damus.io/ isn't a valid URI: scheme isn't ws or wss"
ws://relay.snort.social,ok_serving,1,1,584,719,1,""
ws://umbrel.local:4848,dns_fail,1,1,,,0,"gaierror: [Errno -3] Temporary failure in name resolution"
wss://140.f7z.io,ok_serving,1,1,814,967,1,""
wss://192.168.1.4:4848,timeout,1,1,,,0,"TimeoutError: timed out during opening handshake"
wss://428lab.communities.buzz.xyz,auth_required,1,1,716,818,0,""
wss://aegis.relayted.de,ok_serving,1,1,776,977,1,""
wss://aggr.nostr.land,auth_required,1,1,855,889,0,""
wss://at.nostrworks.com,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 406"
wss://atlas.nostr.land/invoices,auth_required,1,1,803,838,0,""
wss://basspistol.org,auth_required,1,1,814,814,0,""
wss://bbb.santos.lol,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://bcast.girino.org,ok_empty,1,1,474,529,0,""
wss://bevo.nostr1.com,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 402"
wss://bitcoinmaximalists.online,timeout,1,1,,,0,"TimeoutError: timed out during opening handshake"
wss://bostr.bitcointxoko.com,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://bostr.shop,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://btc-italia.online,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://casanostr.compile-error.net,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://catstrr.swarmstr.com,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://ch.purplerelay.com,dns_fail,1,1,,,0,"gaierror: [Errno -2] Name or service not known"
wss://christpill.nostr1.com,ok_serving,1,1,206,239,1,""
wss://cobrafuma.com/relay,dns_fail,1,1,,,0,"gaierror: [Errno -5] No address associated with hostname"
wss://cryptowolf.nostr1.com,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 402"
wss://crystal-nostr-relay.compile-error.net,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 403"
wss://dev.beamhop.com:7000,timeout,1,1,,,0,"TimeoutError: timed out during opening handshake"
wss://ensemble-appear-locking-forming.trycloudflare.com,ok_serving,1,1,933,1156,1,""
wss://ephemerelay.mostr.pub,http_error,1,1,,,0,"InvalidStatus: server rejected WebSocket connection: HTTP 400"
